area,age,total
1,0,824
1,1,782
1,2,744
1,3,707
1,4,680
1,5,590
1,6,537
1,7,602
1,8,545
1,9,548
1,10,532
1,11,450
1,12,462
1,13,466
1,14,429
1,15,473
1,16,509
1,17,545
1,18,804
1,19,1085
1,20,1124
1,21,1351
1,22,1264
1,23,1096
1,24,1141
1,25,1218
1,26,1133
1,27,1176
1,28,1195
1,29,1125
1,30,1265
1,31,1104
1,32,1068
1,33,1124
1,34,1025
1,35,1029
1,36,977
1,37,956
1,38,952
1,39,925
1,40,916
1,41,817
1,42,790
1,43,755
1,44,750
1,45,781
1,46,803
1,47,732
1,48,733
1,49,728
1,50,755
1,51,660
1,52,628
1,53,713
1,54,678
1,55,696
1,56,559
1,57,574
1,58,483
1,59,508
1,60,542
1,61,462
1,62,433
1,63,441
1,64,372
1,65,340
1,66,295
1,67,277
1,68,220
1,69,242
1,70,217
1,71,194
1,72,203
1,73,200
1,74,180
1,75,139
1,76,142
1,77,155
1,78,133
1,79,115
1,80,111
1,81,108
1,82,100
1,83,95
1,84,98
1,85,97
1,86,90
1,87,56
1,88,74
1,89,48
1,90,47
1,91,32
1,92,28
1,93,24
1,94,23
1,95,10
1,96,10
1,97,7
1,98,6
1,99,1
2,0,1161
2,1,1151
2,2,1166
2,3,1125
2,4,1113
2,5,1088
2,6,1084
2,7,1026
2,8,973
2,9,1037
2,10,942
2,11,949
2,12,906
2,13,867
2,14,948
2,15,894
2,16,954
2,17,932
2,18,859
2,19,830
2,20,851
2,21,866
2,22,968
2,23,977
2,24,1086
2,25,1141
2,26,1127
2,27,1130
2,28,1106
2,29,1179
2,30,1219
2,31,1104
2,32,1083
2,33,1045
2,34,1003
2,35,1091
2,36,971
2,37,1078
2,38,1033
2,39,1024
2,40,1146
2,41,955
2,42,973
2,43,931
2,44,896
2,45,1000
2,46,1020
2,47,1009
2,48,969
2,49,977
2,50,975
2,51,915
2,52,971
2,53,882
2,54,982
2,55,1064
2,56,891
2,57,918
2,58,855
2,59,788
2,60,833
2,61,750
2,62,724
2,63,671
2,64,535
2,65,539
2,66,528
2,67,500
2,68,431
2,69,374
2,70,422
2,71,365
2,72,387
2,73,343
2,74,320
2,75,305
2,76,296
2,77,289
2,78,243
2,79,290
2,80,312
2,81,221
2,82,251
2,83,228
2,84,203
2,85,174
2,86,187
2,87,182
2,88,186
2,89,123
2,90,122
2,91,84
2,92,63
2,93,53
2,94,47
2,95,49
2,96,35
2,97,28
2,98,16
2,99,11
3,0,752
3,1,612
3,2,568
3,3,503
3,4,453
3,5,415
3,6,389
3,7,330
3,8,364
3,9,354
3,10,327
3,11,292
3,12,320
3,13,324
3,14,332
3,15,342
3,16,353
3,17,335
3,18,319
3,19,422
3,20,466
3,21,599
3,22,858
3,23,1213
3,24,1361
3,25,1440
3,26,1535
3,27,1665
3,28,1610
3,29,1621
3,30,1706
3,31,1402
3,32,1413
3,33,1334
3,34,1235
3,35,1169
3,36,1072
3,37,1023
3,38,975
3,39,1074
3,40,1076
3,41,939
3,42,895
3,43,810
3,44,807
3,45,883
3,46,795
3,47,766
3,48,726
3,49,798
3,50,809
3,51,727
3,52,704
3,53,717
3,54,711
3,55,670
3,56,642
3,57,646
3,58,556
3,59,579
3,60,574
3,61,480
3,62,494
3,63,474
3,64,368
3,65,380
3,66,341
3,67,332
3,68,317
3,69,289
3,70,308
3,71,262
3,72,272
3,73,263
3,74,242
3,75,233
3,76,214
3,77,200
3,78,203
3,79,187
3,80,193
3,81,170
3,82,167
3,83,172
3,84,142
3,85,144
3,86,114
3,87,137
3,88,108
3,89,85
3,90,72
3,91,58
3,92,52
3,93,42
3,94,26
3,95,31
3,96,23
3,97,20
3,98,14
3,99,7
4,0,629
4,1,561
4,2,493
4,3,517
4,4,410
4,5,391
4,6,402
4,7,342
4,8,311
4,9,314
4,10,280
4,11,284
4,12,257
4,13,257
4,14,281
4,15,275
4,16,301
4,17,277
4,18,289
4,19,297
4,20,273
4,21,382
4,22,427
4,23,617
4,24,760
4,25,884
4,26,942
4,27,1148
4,28,1304
4,29,1140
4,30,1237
4,31,1154
4,32,1092
4,33,1030
4,34,937
4,35,959
4,36,805
4,37,778
4,38,719
4,39,748
4,40,729
4,41,629
4,42,574
4,43,585
4,44,583
4,45,595
4,46,515
4,47,522
4,48,445
4,49,461
4,50,469
4,51,458
4,52,474
4,53,434
4,54,418
4,55,464
4,56,418
4,57,409
4,58,397
4,59,426
4,60,363
4,61,318
4,62,329
4,63,342
4,64,251
4,65,255
4,66,211
4,67,201
4,68,216
4,69,187
4,70,199
4,71,165
4,72,198
4,73,141
4,74,136
4,75,128
4,76,100
4,77,134
4,78,115
4,79,104
4,80,101
4,81,95
4,82,91
4,83,88
4,84,81
4,85,73
4,86,71
4,87,48
4,88,56
4,89,42
4,90,42
4,91,22
4,92,22
4,93,12
4,94,14
4,95,9
4,96,12
4,97,2
4,98,5
4,99,0
5,0,671
5,1,641
5,2,553
5,3,553
5,4,458
5,5,418
5,6,361
5,7,355
5,8,310
5,9,274
5,10,233
5,11,231
5,12,200
5,13,163
5,14,183
5,15,149
5,16,125
5,17,143
5,18,146
5,19,122
5,20,176
5,21,197
5,22,281
5,23,480
5,24,639
5,25,865
5,26,957
5,27,999
5,28,1099
5,29,1084
5,30,1027
5,31,963
5,32,961
5,33,845
5,34,831
5,35,816
5,36,685
5,37,753
5,38,685
5,39,656
5,40,636
5,41,568
5,42,550
5,43,509
5,44,432
5,45,445
5,46,407
5,47,355
5,48,360
5,49,310
5,50,290
5,51,309
5,52,298
5,53,275
5,54,295
5,55,295
5,56,253
5,57,238
5,58,218
5,59,217
5,60,242
5,61,226
5,62,212
5,63,213
5,64,163
5,65,157
5,66,171
5,67,165
5,68,134
5,69,115
5,70,126
5,71,112
5,72,120
5,73,87
5,74,102
5,75,90
5,76,80
5,77,83
5,78,71
5,79,90
5,80,63
5,81,63
5,82,57
5,83,52
5,84,38
5,85,50
5,86,36
5,87,41
5,88,39
5,89,41
5,90,24
5,91,19
5,92,7
5,93,9
5,94,7
5,95,5
5,96,2
5,97,1
5,98,4
5,99,1
6,0,1251
6,1,1005
6,2,849
6,3,640
6,4,624
6,5,536
6,6,515
6,7,413
6,8,376
6,9,357
6,10,297
6,11,280
6,12,281
6,13,256
6,14,238
6,15,231
6,16,230
6,17,237
6,18,236
6,19,482
6,20,918
6,21,1109
6,22,2086
6,23,3781
6,24,4898
6,25,5438
6,26,5075
6,27,4802
6,28,4394
6,29,3932
6,30,3623
6,31,3051
6,32,2736
6,33,2318
6,34,2051
6,35,1914
6,36,1595
6,37,1479
6,38,1431
6,39,1499
6,40,1374
6,41,1192
6,42,1187
6,43,1086
6,44,1045
6,45,1042
6,46,930
6,47,860
6,48,860
6,49,803
6,50,802
6,51,705
6,52,730
6,53,679
6,54,650
6,55,618
6,56,622
6,57,598
6,58,587
6,59,593
6,60,620
6,61,661
6,62,641
6,63,637
6,64,533
6,65,487
6,66,465
6,67,472
6,68,409
6,69,364
6,70,361
6,71,333
6,72,289
6,73,293
6,74,254
6,75,250
6,76,236
6,77,222
6,78,226
6,79,209
6,80,216
6,81,194
6,82,184
6,83,176
6,84,156
6,85,151
6,86,132
6,87,109
6,88,90
6,89,97
6,90,96
6,91,74
6,92,66
6,93,51
6,94,35
6,95,43
6,96,29
6,97,25
6,98,16
6,99,8
7,0,850
7,1,658
7,2,634
7,3,555
7,4,486
7,5,489
7,6,494
7,7,393
7,8,377
7,9,331
7,10,344
7,11,338
7,12,299
7,13,270
7,14,260
7,15,306
7,16,241
7,17,251
7,18,855
7,19,1704
7,20,1556
7,21,1406
7,22,1579
7,23,2241
7,24,2802
7,25,3065
7,26,2691
7,27,2555
7,28,2263
7,29,2050
7,30,1861
7,31,1559
7,32,1484
7,33,1257
7,34,1027
7,35,1030
7,36,909
7,37,901
7,38,893
7,39,876
7,40,893
7,41,828
7,42,765
7,43,709
7,44,666
7,45,701
7,46,671
7,47,638
7,48,643
7,49,569
7,50,583
7,51,567
7,52,543
7,53,597
7,54,528
7,55,510
7,56,510
7,57,488
7,58,493
7,59,488
7,60,505
7,61,536
7,62,498
7,63,547
7,64,429
7,65,411
7,66,411
7,67,421
7,68,351
7,69,292
7,70,252
7,71,220
7,72,253
7,73,218
7,74,175
7,75,179
7,76,146
7,77,141
7,78,154
7,79,148
7,80,142
7,81,130
7,82,130
7,83,109
7,84,89
7,85,91
7,86,94
7,87,87
7,88,90
7,89,62
7,90,62
7,91,42
7,92,33
7,93,30
7,94,22
7,95,23
7,96,21
7,97,10
7,98,8
7,99,10
8,0,768
8,1,600
8,2,511
8,3,418
8,4,350
8,5,366
8,6,290
8,7,227
8,8,297
8,9,224
8,10,235
8,11,267
8,12,222
8,13,241
8,14,221
8,15,199
8,16,259
8,17,262
8,18,332
8,19,553
8,20,786
8,21,956
8,22,1342
8,23,2097
8,24,2566
8,25,3090
8,26,3239
8,27,3299
8,28,3114
8,29,2706
8,30,2498
8,31,2258
8,32,1997
8,33,1729
8,34,1459
8,35,1396
8,36,1169
8,37,1132
8,38,1133
8,39,1111
8,40,1101
8,41,937
8,42,890
8,43,869
8,44,872
8,45,925
8,46,968
8,47,892
8,48,863
8,49,926
8,50,951
8,51,943
8,52,925
8,53,887
8,54,886
8,55,984
8,56,916
8,57,899
8,58,920
8,59,931
8,60,1010
8,61,987
8,62,1099
8,63,1079
8,64,833
8,65,816
8,66,792
8,67,881
8,68,684
8,69,618
8,70,624
8,71,588
8,72,565
8,73,502
8,74,465
8,75,400
8,76,404
8,77,339
8,78,371
8,79,356
8,80,326
8,81,305
8,82,293
8,83,262
8,84,237
8,85,219
8,86,211
8,87,153
8,88,136
8,89,117
8,90,86
8,91,65
8,92,58
8,93,43
8,94,39
8,95,29
8,96,26
8,97,20
8,98,13
8,99,8
9,0,118
9,1,142
9,2,131
9,3,137
9,4,120
9,5,166
9,6,136
9,7,149
9,8,138
9,9,137
9,10,135
9,11,134
9,12,127
9,13,142
9,14,131
9,15,122
9,16,122
9,17,111
9,18,98
9,19,60
9,20,75
9,21,88
9,22,115
9,23,126
9,24,133
9,25,144
9,26,139
9,27,144
9,28,147
9,29,128
9,30,128
9,31,139
9,32,124
9,33,140
9,34,146
9,35,137
9,36,121
9,37,173
9,38,173
9,39,198
9,40,181
9,41,195
9,42,179
9,43,175
9,44,184
9,45,197
9,46,190
9,47,176
9,48,154
9,49,177
9,50,175
9,51,182
9,52,186
9,53,168
9,54,166
9,55,198
9,56,176
9,57,140
9,58,166
9,59,125
9,60,144
9,61,127
9,62,124
9,63,109
9,64,92
9,65,74
9,66,98
9,67,74
9,68,99
9,69,85
9,70,69
9,71,77
9,72,76
9,73,82
9,74,74
9,75,78
9,76,68
9,77,74
9,78,80
9,79,83
9,80,64
9,81,64
9,82,63
9,83,56
9,84,66
9,85,52
9,86,60
9,87,44
9,88,40
9,89,23
9,90,30
9,91,23
9,92,10
9,93,16
9,94,4
9,95,11
9,96,2
9,97,2
9,98,2
9,99,1
10,0,379
10,1,401
10,2,429
10,3,416
10,4,455
10,5,468
10,6,456
10,7,441
10,8,410
10,9,410
10,10,466
10,11,394
10,12,420
10,13,452
10,14,404
10,15,376
10,16,419
10,17,402
10,18,366
10,19,273
10,20,318
10,21,319
10,22,336
10,23,341
10,24,355
10,25,366
10,26,396
10,27,384
10,28,395
10,29,376
10,30,407
10,31,439
10,32,415
10,33,455
10,34,429
10,35,458
10,36,468
10,37,488
10,38,550
10,39,563
10,40,553
10,41,564
10,42,565
10,43,547
10,44,491
10,45,587
10,46,564
10,47,527
10,48,572
10,49,568
10,50,605
10,51,598
10,52,578
10,53,552
10,54,566
10,55,566
10,56,541
10,57,575
10,58,537
10,59,496
10,60,452
10,61,465
10,62,468
10,63,416
10,64,351
10,65,329
10,66,352
10,67,355
10,68,274
10,69,285
10,70,280
10,71,292
10,72,276
10,73,231
10,74,243
10,75,254
10,76,251
10,77,240
10,78,236
10,79,284
10,80,286
10,81,251
10,82,234
10,83,261
10,84,229
10,85,246
10,86,229
10,87,214
10,88,200
10,89,191
10,90,145
10,91,127
10,92,90
10,93,86
10,94,61
10,95,67
10,96,46
10,97,31
10,98,14
10,99,9
11,0,317
11,1,334
11,2,306
11,3,307
11,4,276
11,5,307
11,6,252
11,7,306
11,8,252
11,9,291
11,10,296
11,11,270
11,12,249
11,13,275
11,14,271
11,15,282
11,16,277
11,17,321
11,18,253
11,19,265
11,20,242
11,21,226
11,22,282
11,23,310
11,24,331
11,25,331
11,26,350
11,27,378
11,28,360
11,29,386
11,30,402
11,31,375
11,32,392
11,33,365
11,34,338
11,35,374
11,36,413
11,37,351
11,38,411
11,39,390
11,40,408
11,41,415
11,42,356
11,43,353
11,44,366
11,45,429
11,46,410
11,47,394
11,48,372
11,49,366
11,50,424
11,51,388
11,52,386
11,53,400
11,54,388
11,55,385
11,56,371
11,57,325
11,58,290
11,59,320
11,60,348
11,61,303
11,62,321
11,63,298
11,64,230
11,65,234
11,66,181
11,67,219
11,68,196
11,69,183
11,70,169
11,71,149
11,72,180
11,73,157
11,74,145
11,75,139
11,76,137
11,77,140
11,78,122
11,79,145
11,80,124
11,81,113
11,82,120
11,83,114
11,84,119
11,85,108
11,86,105
11,87,82
11,88,58
11,89,68
11,90,41
11,91,28
11,92,37
11,93,19
11,94,21
11,95,12
11,96,8
11,97,4
11,98,4
11,99,3
12,0,194
12,1,210
12,2,241
12,3,240
12,4,254
12,5,282
12,6,302
12,7,288
12,8,262
12,9,295
12,10,283
12,11,266
12,12,261
12,13,226
12,14,253
12,15,229
12,16,207
12,17,239
12,18,189
12,19,129
12,20,144
12,21,148
12,22,146
12,23,155
12,24,176
12,25,149
12,26,123
12,27,130
12,28,154
12,29,123
12,30,155
12,31,145
12,32,175
12,33,169
12,34,182
12,35,211
12,36,203
12,37,224
12,38,255
12,39,312
12,40,306
12,41,293
12,42,284
12,43,292
12,44,292
12,45,342
12,46,305
12,47,335
12,48,305
12,49,299
12,50,299
12,51,309
12,52,330
12,53,271
12,54,261
12,55,314
12,56,272
12,57,289
12,58,230
12,59,287
12,60,258
12,61,234
12,62,241
12,63,252
12,64,190
12,65,189
12,66,156
12,67,208
12,68,203
12,69,145
12,70,165
12,71,138
12,72,142
12,73,150
12,74,131
12,75,143
12,76,111
12,77,93
12,78,111
12,79,115
12,80,97
12,81,103
12,82,88
12,83,86
12,84,72
12,85,64
12,86,81
12,87,63
12,88,38
12,89,49
12,90,38
12,91,22
12,92,9
12,93,15
12,94,20
12,95,9
12,96,13
12,97,6
12,98,4
12,99,5
13,0,191
13,1,216
13,2,204
13,3,211
13,4,229
13,5,205
13,6,200
13,7,207
13,8,222
13,9,218
13,10,215
13,11,191
13,12,202
13,13,218
13,14,247
13,15,219
13,16,249
13,17,237
13,18,258
13,19,290
13,20,276
13,21,267
13,22,266
13,23,275
13,24,257
13,25,273
13,26,266
13,27,214
13,28,243
13,29,238
13,30,244
13,31,206
13,32,234
13,33,199
13,34,198
13,35,216
13,36,234
13,37,235
13,38,225
13,39,240
13,40,244
13,41,234
13,42,238
13,43,227
13,44,195
13,45,220
13,46,234
13,47,235
13,48,218
13,49,210
13,50,233
13,51,207
13,52,244
13,53,195
13,54,222
13,55,248
13,56,242
13,57,207
13,58,205
13,59,202
13,60,187
13,61,216
13,62,212
13,63,198
13,64,160
13,65,210
13,66,182
13,67,172
13,68,136
13,69,145
13,70,136
13,71,170
13,72,167
13,73,148
13,74,153
13,75,120
13,76,130
13,77,124
13,78,112
13,79,123
13,80,128
13,81,112
13,82,86
13,83,93
13,84,90
13,85,88
13,86,70
13,87,79
13,88,61
13,89,55
13,90,40
13,91,29
13,92,26
13,93,21
13,94,12
13,95,15
13,96,12
13,97,8
13,98,7
13,99,0
14,0,895
14,1,815
14,2,848
14,3,817
14,4,849
14,5,777
14,6,794
14,7,740
14,8,682
14,9,677
14,10,627
14,11,619
14,12,637
14,13,653
14,14,637
14,15,586
14,16,614
14,17,655
14,18,763
14,19,841
14,20,984
14,21,971
14,22,1009
14,23,880
14,24,944
14,25,1013
14,26,969
14,27,1085
14,28,997
14,29,1077
14,30,1078
14,31,975
14,32,996
14,33,948
14,34,886
14,35,972
14,36,871
14,37,886
14,38,851
14,39,845
14,40,807
14,41,671
14,42,633
14,43,646
14,44,646
14,45,698
14,46,637
14,47,673
14,48,620
14,49,689
14,50,623
14,51,578
14,52,532
14,53,520
14,54,530
14,55,577
14,56,519
14,57,480
14,58,447
14,59,449
14,60,446
14,61,381
14,62,373
14,63,334
14,64,293
14,65,279
14,66,297
14,67,245
14,68,256
14,69,205
14,70,218
14,71,182
14,72,180
14,73,171
14,74,143
14,75,166
14,76,143
14,77,131
14,78,152
14,79,108
14,80,120
14,81,121
14,82,101
14,83,96
14,84,89
14,85,75
14,86,89
14,87,76
14,88,64
14,89,64
14,90,49
14,91,37
14,92,33
14,93,25
14,94,17
14,95,14
14,96,5
14,97,6
14,98,5
14,99,7
15,0,925
15,1,909
15,2,939
15,3,850
15,4,813
15,5,789
15,6,832
15,7,809
15,8,714
15,9,774
15,10,774
15,11,745
15,12,712
15,13,784
15,14,798
15,15,803
15,16,814
15,17,872
15,18,810
15,19,761
15,20,849
15,21,852
15,22,848
15,23,905
15,24,962
15,25,1035
15,26,977
15,27,1013
15,28,1024
15,29,1050
15,30,1062
15,31,977
15,32,981
15,33,951
15,34,872
15,35,949
15,36,909
15,37,986
15,38,965
15,39,998
15,40,1031
15,41,897
15,42,875
15,43,867
15,44,923
15,45,897
15,46,900
15,47,911
15,48,924
15,49,951
15,50,1057
15,51,974
15,52,1027
15,53,862
15,54,994
15,55,952
15,56,866
15,57,833
15,58,830
15,59,793
15,60,773
15,61,722
15,62,744
15,63,664
15,64,507
15,65,498
15,66,414
15,67,412
15,68,372
15,69,366
15,70,357
15,71,350
15,72,327
15,73,327
15,74,275
15,75,302
15,76,250
15,77,253
15,78,225
15,79,211
15,80,214
15,81,209
15,82,212
15,83,190
15,84,168
15,85,186
15,86,144
15,87,147
15,88,110
15,89,101
15,90,71
15,91,67
15,92,51
15,93,45
15,94,29
15,95,24
15,96,12
15,97,14
15,98,10
15,99,4
16,0,872
16,1,791
16,2,809
16,3,801
16,4,712
16,5,677
16,6,684
16,7,647
16,8,669
16,9,620
16,10,653
16,11,618
16,12,588
16,13,589
16,14,656
16,15,602
16,16,635
16,17,623
16,18,619
16,19,561
16,20,605
16,21,614
16,22,700
16,23,733
16,24,901
16,25,964
16,26,994
16,27,1094
16,28,1074
16,29,1206
16,30,1166
16,31,1090
16,32,1084
16,33,1035
16,34,958
16,35,929
16,36,942
16,37,881
16,38,918
16,39,839
16,40,918
16,41,876
16,42,821
16,43,795
16,44,771
16,45,766
16,46,746
16,47,811
16,48,717
16,49,713
16,50,753
16,51,603
16,52,736
16,53,676
16,54,630
16,55,710
16,56,584
16,57,567
16,58,561
16,59,565
16,60,474
16,61,465
16,62,516
16,63,450
16,64,388
16,65,354
16,66,330
16,67,315
16,68,270
16,69,259
16,70,273
16,71,245
16,72,219
16,73,196
16,74,160
16,75,177
16,76,194
16,77,156
16,78,180
16,79,148
16,80,142
16,81,119
16,82,133
16,83,91
16,84,87
16,85,93
16,86,84
16,87,81
16,88,41
16,89,50
16,90,52
16,91,23
16,92,36
16,93,21
16,94,23
16,95,13
16,96,4
16,97,7
16,98,3
16,99,8
17,0,504
17,1,479
17,2,463
17,3,441
17,4,465
17,5,483
17,6,470
17,7,455
17,8,458
17,9,446
17,10,476
17,11,473
17,12,437
17,13,456
17,14,459
17,15,450
17,16,486
17,17,493
17,18,539
17,19,470
17,20,477
17,21,493
17,22,527
17,23,537
17,24,563
17,25,591
17,26,612
17,27,581
17,28,586
17,29,599
17,30,600
17,31,571
17,32,612
17,33,605
17,34,600
17,35,568
17,36,548
17,37,532
17,38,575
17,39,597
17,40,587
17,41,517
17,42,571
17,43,551
17,44,618
17,45,553
17,46,605
17,47,630
17,48,670
17,49,626
17,50,681
17,51,667
17,52,654
17,53,696
17,54,681
17,55,664
17,56,653
17,57,608
17,58,581
17,59,592
17,60,536
17,61,495
17,62,515
17,63,537
17,64,377
17,65,365
17,66,376
17,67,362
17,68,342
17,69,280
17,70,301
17,71,290
17,72,264
17,73,246
17,74,238
17,75,211
17,76,200
17,77,228
17,78,214
17,79,258
17,80,263
17,81,207
17,82,201
17,83,200
17,84,199
17,85,159
17,86,161
17,87,178
17,88,110
17,89,111
17,90,81
17,91,64
17,92,56
17,93,31
17,94,28
17,95,25
17,96,14
17,97,13
17,98,5
17,99,2
18,0,205
18,1,194
18,2,191
18,3,213
18,4,195
18,5,187
18,6,162
18,7,161
18,8,189
18,9,187
18,10,176
18,11,185
18,12,176
18,13,178
18,14,179
18,15,178
18,16,200
18,17,178
18,18,152
18,19,160
18,20,169
18,21,183
18,22,167
18,23,186
18,24,223
18,25,198
18,26,196
18,27,176
18,28,219
18,29,188
18,30,225
18,31,178
18,32,194
18,33,210
18,34,206
18,35,201
18,36,190
18,37,180
18,38,200
18,39,171
18,40,196
18,41,194
18,42,148
18,43,158
18,44,171
18,45,180
18,46,158
18,47,175
18,48,174
18,49,178
18,50,180
18,51,172
18,52,190
18,53,190
18,54,198
18,55,219
18,56,164
18,57,165
18,58,154
18,59,153
18,60,142
18,61,147
18,62,144
18,63,152
18,64,130
18,65,114
18,66,99
18,67,89
18,68,88
18,69,80
18,70,76
18,71,75
18,72,75
18,73,80
18,74,68
18,75,67
18,76,44
18,77,42
18,78,59
18,79,68
18,80,64
18,81,49
18,82,47
18,83,52
18,84,55
18,85,36
18,86,44
18,87,39
18,88,30
18,89,31
18,90,22
18,91,22
18,92,10
18,93,12
18,94,9
18,95,12
18,96,10
18,97,10
18,98,4
18,99,2
19,0,1409
19,1,1320
19,2,1381
19,3,1414
19,4,1316
19,5,1294
19,6,1318
19,7,1250
19,8,1266
19,9,1201
19,10,1311
19,11,1301
19,12,1279
19,13,1268
19,14,1301
19,15,1238
19,16,1294
19,17,1311
19,18,1250
19,19,1276
19,20,1277
19,21,1239
19,22,1237
19,23,1256
19,24,1310
19,25,1281
19,26,1282
19,27,1316
19,28,1370
19,29,1331
19,30,1352
19,31,1281
19,32,1267
19,33,1304
19,34,1231
19,35,1215
19,36,1194
19,37,1166
19,38,1176
19,39,1180
19,40,1149
19,41,1053
19,42,1062
19,43,1014
19,44,984
19,45,1067
19,46,1001
19,47,951
19,48,971
19,49,980
19,50,1035
19,51,887
19,52,984
19,53,908
19,54,864
19,55,904
19,56,732
19,57,740
19,58,721
19,59,718
19,60,666
19,61,633
19,62,611
19,63,576
19,64,489
19,65,510
19,66,428
19,67,379
19,68,363
19,69,350
19,70,303
19,71,298
19,72,277
19,73,265
19,74,263
19,75,230
19,76,180
19,77,210
19,78,144
19,79,186
19,80,170
19,81,139
19,82,142
19,83,145
19,84,126
19,85,109
19,86,91
19,87,114
19,88,64
19,89,71
19,90,50
19,91,39
19,92,27
19,93,29
19,94,22
19,95,20
19,96,7
19,97,7
19,98,9
19,99,11
20,0,455
20,1,451
20,2,423
20,3,457
20,4,441
20,5,440
20,6,411
20,7,435
20,8,395
20,9,392
20,10,397
20,11,387
20,12,430
20,13,402
20,14,391
20,15,408
20,16,434
20,17,429
20,18,421
20,19,417
20,20,427
20,21,410
20,22,432
20,23,394
20,24,411
20,25,447
20,26,445
20,27,452
20,28,407
20,29,412
20,30,430
20,31,407
20,32,397
20,33,371
20,34,386
20,35,423
20,36,369
20,37,369
20,38,387
20,39,393
20,40,396
20,41,362
20,42,324
20,43,280
20,44,310
20,45,351
20,46,277
20,47,319
20,48,286
20,49,347
20,50,309
20,51,316
20,52,254
20,53,275
20,54,303
20,55,300
20,56,231
