area,male,female
1,27752.0,27239.0
2,35522.0,36420.0
3,29512.0,26850.0
4,19309.0,20184.0
5,15557.0,16310.0
6,47000.0,47368.0
7,30430.0,33686.0
8,37337.0,43147.0
9,5367.0,5820.0
10,17522.0,19501.0
11,12293.0,13155.0
12,8934.0,9574.0
13,8649.0,9282.0
14,26407.0,25135.0
15,31337.0,32787.0
16,26674.0,26685.0
17,20504.0,21428.0
18,6592.0,6834.0
19,39609.0,39134.0
20,12566.0,12444.0
21,20119.0,19143.0
22,37220.0,36375.0
23,27273.0,29050.0
24,41643.0,39789.0
25,45189.0,53325.0
26,8302.0,9699.0
27,9535.0,11032.0
28,26974.0,27907.0
29,16517.0,19395.0
30,45395.0,33893.0
31,18827.0,16942.0
32,14464.0,14819.0
33,10159.0,11231.0
34,6450.0,6941.0
35,8413.0,9825.0
36,2440.0,3478.0
37,1391.0,1485.0
38,9456.0,12473.0
39,7615.0,10226.0
40,5058.0,6659.0
41,12223.0,13458.0
42,11567.0,14416.0
43,21812.0,27955.0
44,13401.0,17627.0
45,4430.0,5755.0
46,14245.0,16953.0
47,1286.0,1630.0
48,6136.0,7676.0
49,19881.0,24738.0
50,3262.0,4063.0
51,6938.0,8171.0
52,11390.0,11652.0
53,13501.0,16150.0
54,2664.0,3818.0
55,4697.0,4729.0
56,16792.0,17721.0
57,6773.0,6620.0
58,23367.0,22001.0
59,7827.0,7785.0
60,15986.0,15991.0
61,22391.0,21986.0
62,9004.0,9105.0
63,20477.0,19417.0
64,11300.0,11839.0
65,16723.0,16632.0
66,26695.0,28933.0
67,16468.0,19037.0
68,13780.0,16874.0
69,14333.0,18269.0
70,19690.0,21391.0
71,21423.0,27320.0
72,9558.0,10476.0
73,11680.0,14813.0
74,9396.0,9697.0
75,10208.0,12336.0
76,6421.0,6335.0
77,29034.0,27487.0