area,Asia,Central America,Cuba/Puerto Rico,South America,Other Hisp/Latino
1,3448,11107,1156,640,530
2,15819,11275,1649,1226,551
3,6293,5324,1270,899,516
4,4346,5060,1157,931,414
5,1446,2686,935,447,262
6,5565,4110,1519,989,580
7,3254,1846,917,517,291
8,8043,1817,813,835,509
9,269,505,253,76,38
10,1695,2458,1364,418,202
11,2228,2892,1418,466,151
12,1953,1168,526,321,111
13,4538,1951,623,482,168
14,7403,18639,2462,3322,1064
15,3014,15606,6308,2273,674
16,3794,16195,4995,2328,814
17,1603,5932,3002,771,292
18,392,4852,1921,362,113
19,1638,44883,12804,2817,1597
20,323,13958,6607,677,618
21,1230,17843,4858,1938,656
22,1939,22037,12466,1858,979
23,287,17695,11252,524,575
24,3009,12864,9236,1053,703
25,599,5164,2879,325,354
26,11,139,156,15,38
27,89,394,344,11,101
28,7898,3421,847,449,331
29,74,1568,398,42,136
30,169,61759,1351,294,2053
31,409,27566,890,386,644
32,4602,1106,382,315,207
33,3255,660,238,203,101
34,9700,366,38,26,34
35,2290,251,123,30,61
36,35,57,22,2,6
37,7,116,15,0,1
38,56,205,153,14,23
39,957,258,144,90,50
40,12,31,51,0,22
41,3173,935,249,299,143
42,560,253,147,57,86
43,97,437,303,34,80
44,26,163,107,10,31
45,18,75,64,2,12
46,78,5867,555,17,335
47,0,8,12,0,0
48,26,421,112,9,27
49,27,231,150,13,64
50,7,485,56,3,27
51,20,4430,254,14,111
52,78,16903,854,84,235
53,14,1329,98,4,78
54,2,101,24,0,7
55,63,4224,324,29,94
56,380,12204,902,205,204
57,145,9492,352,94,244
58,2274,36621,1056,277,739
59,2467,9316,463,102,230
60,10975,7549,690,125,263
61,746,23553,994,75,809
62,246,13499,509,132,174
63,153,33920,975,270,424
64,225,8718,954,207,605
65,229,24995,1042,283,349
66,204,23270,1209,173,489
67,23,538,191,8,37
68,35,155,123,6,41
69,21,210,150,10,18
70,282,13728,985,137,282
71,33,269,135,11,44
72,109,635,148,61,71
73,12,146,81,8,23
74,132,1133,167,32,50
75,94,443,131,19,26
76,1034,608,391,157,56
77,6493,6735,1272,790,521