area,NHW,NHB,NHAM,NHAS,NH Other,HISP,NH Multiple,total
1,21618,14461,142,3523,241,13433,1573,54991
2,30706,8015,189,16184,228,14701,1919,71942
3,29098,11275,191,6414,140,8009,1235,56362
4,24916,1488,72,4399,139,7562,917,39493
5,24634,738,55,1449,67,4330,594,31867
6,75845,3651,110,5653,184,7198,1727,94368
7,53138,2753,54,3296,133,3571,1171,64116
8,58033,8732,79,8140,188,3974,1338,80484
9,9885,29,3,269,9,872,120,11187
10,30157,164,54,1696,39,4442,471,37023
11,17475,265,71,2256,43,4927,411,25448
12,13815,137,22,1989,16,2126,403,18508
13,8847,573,42,4600,86,3224,559,17931
14,15054,2076,119,7430,181,25487,1195,51542
15,34329,856,107,2972,136,24861,863,64124
16,22234,1736,124,3736,137,24332,1060,53359
17,29512,308,40,1587,54,9997,434,41932
18,5041,598,21,377,29,7248,112,13426
19,11959,2493,74,1537,159,62101,420,78743
20,1913,757,16,294,38,21860,132,25010
21,11166,991,69,1194,93,25295,454,39262
22,29175,3913,111,1904,198,37340,954,73595
23,2502,23030,56,222,88,30046,379,56323
24,46390,6391,121,3030,187,23856,1457,81432
25,4364,83837,161,573,74,8722,783,98514
26,133,17315,22,8,11,348,164,18001
27,698,18696,24,83,20,850,196,20567
28,23042,17303,84,8022,170,5048,1212,54881
29,492,32835,78,74,24,2144,265,35912
30,3056,10374,63,113,99,65457,126,79288
31,4447,1108,50,371,45,29486,262,35769
32,18359,3361,46,4658,97,2010,752,29283
33,10281,6015,18,3307,63,1202,504,21390
34,1642,1419,4,9721,3,464,138,13391
35,1810,13247,41,2313,24,465,338,18238
36,122,5567,17,35,10,87,80,5918
37,47,2651,0,7,0,132,39,2876
38,391,20645,33,57,21,395,387,21929
39,2942,12821,17,973,64,542,482,17841
40,87,11370,13,12,2,104,129,11717
41,11992,7815,37,3185,95,1626,931,25681
42,1707,22654,42,567,34,543,436,25983
43,640,47289,120,101,76,854,687,49767
44,112,30160,69,27,26,311,323,31028
45,81,9751,18,19,16,153,147,10185
46,599,23296,52,67,73,6774,337,31198
47,19,2849,2,0,0,20,26,2916
48,126,12897,17,26,22,569,155,13812
49,188,43447,64,27,40,458,395,44619
50,522,6122,8,5,8,571,89,7325
51,725,9354,31,18,16,4809,156,15109
52,3969,777,39,53,18,18076,110,23042
53,166,27593,45,14,15,1509,309,29651
54,32,6251,7,2,4,132,54,6482
55,4235,364,22,48,1,4671,85,9426
56,18372,2040,29,346,33,13515,178,34513
57,2874,130,15,138,11,10182,43,13393
58,3682,542,40,2252,44,38693,115,45368
59,2667,234,23,2445,11,10111,121,15612
60,11225,672,41,11038,37,8627,337,31977
61,4697,13148,58,727,55,25431,261,44377
62,3250,255,15,222,13,14314,40,18109
63,1892,2161,23,121,34,35589,74,39894
64,11921,282,27,212,38,10484,175,23139
65,4924,1390,28,210,21,26669,113,33355
66,2419,27403,72,190,84,25141,319,55628
67,130,34178,67,19,28,774,309,35505
68,105,29847,53,34,24,325,266,30654
69,180,31590,77,21,32,388,314,32602
70,6251,18976,45,276,27,15132,374,41081
71,134,47661,81,33,26,459,349,48743
72,11785,6838,23,112,40,915,321,20034
73,121,25793,36,12,22,258,251,26493
74,16413,987,34,126,9,1382,142,19093
75,6473,15039,11,92,32,619,278,22544
76,9845,403,15,1058,26,1212,197,12756
77,30889,8104,98,6582,153,9318,1377,56521