community,district,district number
Rogers Park,Far North Side,9
West Ridge,Far North Side,9
Uptown,Far North Side,9
Lincoln Square,Far North Side,9
Edison Park,Far North Side,9
Norwood Park,Far North Side,9
Jefferson Park,Far North Side,9
Forest Glen,Far North Side,9
North Park,Far North Side,9
Albany Park,Far North Side,9
Ohare,Far North Side,9
Edgewater,Far North Side,9
North Center,North Side,1
Lake View,North Side,1
Lincoln Park,North Side,1
Avondale,North Side,1
Logan Square,North Side,1
Portage Park,Northwest Side,2
Irving Park,Northwest Side,2
Dunning,Northwest Side,2
Montclare,Northwest Side,2
Belmont Cragin,Northwest Side,2
Hermosa,Northwest Side,2
Near North Side,Central,3
Loop,Central,3
Near South Side,Central,3
Humboldt Park,West,4
West Town,West,4
Austin,West,4
West Garfield Park,West,4
East Garfield Park,West,4
Near West Side,West,4
North Lawndale,West,4
South Lawndale,West,4
Lower West Side,West,4
Garfield Ridge,Southwest Side,5
Archer Heights,Southwest Side,5
Brighton Park,Southwest Side,5
Mckinley Park,Southwest Side,5
New City,Southwest Side,5
West Elsdon,Southwest Side,5
Gage Park,Southwest Side,5
Clearing,Southwest Side,5
West Lawn,Southwest Side,5
Chicago Lawn,Southwest Side,5
West Englewood,Southwest Side,5
Englewood,Southwest Side,5
Armour Square,South Side,6
Douglas,South Side,6
Oakland,South Side,6
Fuller Park,South Side,6
Grand Boulevard,South Side,6
Kenwood,South Side,6
Washington Park,South Side,6
Hyde Park,South Side,6
Woodlawn,South Side,6
South Shore,South Side,6
Bridgeport,South Side,6
Greater Grand Crossing,South Side,6
Ashburn,Far Southwest Side,7
Auburn Gresham,Far Southwest Side,7
Beverly,Far Southwest Side,7
Washington Heights,Far Southwest Side,7
Mount Greenwood,Far Southwest Side,7
Morgan Park,Far Southwest Side,7
Chatham,Far South Side,8
Avalon Park,Far South Side,8
South Chicago,Far South Side,8
Burnside,Far South Side,8
Calumet Heights,Far South Side,8
Roseland,Far South Side,8
Pullman,Far South Side,8
South Deering,Far South Side,8
East Side,Far South Side,8
West Pullman,Far South Side,8
Riverdale,Far South Side,8
Hegewisch,Far South Side,8